itemd,hollander,itemdesc,urg_cost,core,warranty
BLACKBURN,560-937B,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-998,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1004,X,18,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1062,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1095,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1100,X,18,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1160,X,18,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1175,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1204,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1332A,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1332B,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1366,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1406,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1447,X,18,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1599A,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1601,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1613,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1616,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1619,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1620A,X,18,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1620B,X,18,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1621,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1622A,X,13,0,BLACKBURNS NO VISIBLE BENDS
BLACKBURN,560-1670A,X,30,0,BLACKBURNS NO VISIBLE BENDS
