Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
25,25,0,,ea,,9.00,
50,Half ounce wheel weights (box),0,,ea,,8.50,
102,"00102 SUNMIGHT 3""X36 GRIT GRINDING DISC 25/BX",31,,ea,,21.20,
104,"50 grit 3"" disc",0,,ea,,15.28,
1207,1207,0,,ea,,12.47,
1210,1210,0,,ea,,12.47,
1306,SUNMIGHT 80G,0,,ea,,30.10,
1307,SUNMIGHT 100G,0,,ea,,26.69,
1310,SUNMIGHT 180G,0,,ea,,26.69,
1314,SUNMIGHT 320G,0,,ea,,26.20,
1316,SUNMIGHT 400G,0,,ea,,26.64,
1318,SUNMIGHT 600G,0,,ea,,25.82,
1319,1319,0,,ea,,31.24,
1320,1320,0,,ea,,31.24,
1321,"SUNMIGHT 1,200G",0,,ea,,30.69,
203001,203001,0,,ea,,0.18,
025SWB,1/4oz Black Wheel Weights,0,,ea,,13.42,
050SWB,1/2 OZ BLACK WHEEL WEIGHTS,21,,ea,,11.00,
05576 3m backing pads,backing pads,6,,ea,,27.97,
7486,Roloc,0,,ea,,0.00,
8001,TPMS programmer,0,,ea,,0.00,
08002hp,08002hp,0,,ea,,26.83,
08003hp,08003hp,0,,ea,,22.50,
8004,OBD-II programmer kit,0,,ea,,0.00,
8200,"6"" PSA",0,,ea,,9.95,
8400,8400,0,,ea,,11.98,
916,3m 220g hookit,0,,ea,,19.18,
917,3m 160g hookit,0,,ea,,19.07,
919,3M HOOKIT 120G,0,,ea,,19.07,
1/8Th Inch ER4043,Per Tube,48,,ea,,32.56,
100 grit,sand paper,0,,ea,,28.54,
100-TP,aka 20055,0,,ea,,0.08,
1000 grit,1000 grit,0,,ea,,31.96,
10001,10001,0,,ea,,133.65,
10003,Ford f150 20x8.5 et44 Chrome Wheel,0,,ea,,289.00,
10004u80,10004u80,0,,ea,,129.00,
10004u80-core,10004u80-core,0,,ea,,75.00,
10005,"2015-2017 Ford F150 20""x8.5"" (10005)",0,,ea,,185.00,
10005u78,"2015-2017 Ford F150 20""x8.5"" (10005)",0,,ea,,191.00,
10010,10010,0,,ea,,130.00,
10010u20-core,"Ford Focus 16"" 15-16 Silver",0,,ea,,24.79,
10015u45,10015u45,0,,ea,,165.00,
10018u90,10018u90,0,,ea,,0.00,
10018u90-core,10018u90-core,0,,ea,,62.00,
"September 13, 2021 2:44:28 PM EDT",,,Page 1 of ,,,,528
Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
10019u77,10019u77,0,,ea,,165.00,
10020,"2015-2016 Lincol MKC 19""x8.5"" (10020)",0,,ea,,180.00,
10020u20,"2015-2016 Lincol MKC 19""x8.5"" (10020)",0,,ea,,84.00,
10020u20-core,"2015-2016 Lincol MKC 19""x8.5"" (10020)",0,,ea,,30.00,
10022u45,10022u45,0,,ea,,300.00,
10022u90-core,10022u90-core,0,,ea,,45.00,
10026u90-core,"Lincoln Navigator 22"" 14-16 Polished Hypersilver",0,,ea,,55.00,
10026u90T,"Lincoln Navigator 22"" 14-16 Polished Hypersilver",0,,ea,,109.00,
10027u20,10027u20,0,,ea,,0.00,
10029u35,Ford Mustang 18in Machined Charcoal Wheel,0,,ea,,192.14,
10030u20,"2015-2017 Ford Mustang 18""x8"" (10030)",0,,ea,,100.00,
10030U30,"2015-2017 Ford Mustang 18""x8"" (10030)",0,,ea,,91.33,
10030u30-core,"2015-2017 Ford Mustang 18""x8"" (10030)",0,,ea,,0.00,
10031u20,10031u20,0,,ea,,129.00,
10031u20-core,10031u20-core,0,,ea,,75.00,
10031u78,medium hyper,0,,ea,,129.00,
10032u45,10032u45,0,,ea,,123.65,
10033u20,10033u20,0,,ea,,134.00,
10033u20-core,10033u20-core,0,,ea,,80.00,
10034u45,10034u45,0,,ea,,165.75,
10036u45,10036u45,0,,ea,,129.00,
10036u45-core,10036u45-core,0,,ea,,75.00,
10038u45,Ford Mustang 19x9.5 et52.5 Wheel,0,,ea,,75.00,
10038u45-core,10038u45-core,0,,ea,,75.00,
10039u30,10039u30,0,,ea,,192.14,
10039u30-core,10039u30-core,0,,ea,,43.33,
10043u20,Ford Edge 18x8 et52.5 Wheel,0,,ea,,79.00,
10043u20-core,10043u20-core,0,,ea,,25.00,
10044u20,10044u20,0,,ea,,0.00,
10044u80,"FORD EDGE 18 "" FACTORY OEM POLISHED WHEEL",0,,ea,,129.00,
10044u80-core,10044u80-core,0,,ea,,75.00,
10045u20,Ford Edge 19x9 et52.5 Wheel,0,,ea,,84.00,
10045u20-core,10045u20-core,0,,ea,,30.00,
10047u90,10047u90,0,,ea,,0.00,
10048,"2015-2016 Ford Edge 21""x9"" (10048)",0,,ea,,180.00,
10048-core,"2015-2016 Ford Edge 21""x9"" (10048)",0,,ea,,125.00,
10048u45-core,"2015-2016 Ford Edge 21""x9"" (10048)",0,,ea,,0.00,
"September 13, 2021 2:44:28 PM EDT",,,Page 2 of ,,,,528
Factory Wheel Warehouse,,,,,,,
Part Average Cost,,,,,,,
 ,,,,,,,
 ,,,,,,,
Part,Description,Quantity On Hand,,, ,Average Cost,
10048u78,"2015-2016 Ford Edge 21""x9"" (10048)",0,,ea,,85.56,
10048u78-core,"2015-2016 Ford Edge 21""x9"" (10048)",0,,ea,,31.56,
10054u45,10054u45,0,,ea,,100.00,
10054u45-core,10054u45-core,0,,ea,,100.00,
10057,stl10057,0,,ea,,0.00,
10059u20,10059u20,0,,ea,,84.00,
10059u20-core,10059u20-core,0,,ea,,30.00,
10060,10060,0,,ea,,245.00,
10061u35,10061u35,0,,ea,,305.00,
10061u35-core,10061u35-core,0,,ea,,55.00,
10062u35,Ford Explorer 20x8.5 et44 Machined Charcoal Wheel,0,,ea,,63.73,
10062u90,10062u90,0,,ea,,100.00,
10064u80,10064u80,0,,ea,,94.00,
10064u80-core,10064u80-core,0,,ea,,40.00,
10074u79,10074u79,0,,ea,,150.82,
10075u78,10075u78,0,,ea,,175.00,
10078u35,10078u35,0,,ea,,192.14,
10079u80,10079u80,0,,ea,,156.28,
10080U45,10080U45,0,,ea,,175.00,
10081u45,10081u45,0,,ea,,175.00,
10087u30,10087u30,0,,ea,,125.00,
10091u79,2017-9 LINCOLN CONTINENTAL 7 double spoke,0,,ea,,225.00,
10092u45,10092u45,0,,ea,,50.00,
10098u20,10098u20,0,,ea,,80.28,
10098u20-core,10098u20-core,0,,ea,,25.00,
10107u80,10107u80,0,,ea,,185.00,
10108,10108,0,,ea,,135.00,
10108u20,10108u20,0,,ea,,76.50,
10108u20-core,10108u20-core,0,,ea,,27.00,
10109U35,2017-18 ESCAPE 18X7.5,0,,ea,,94.00,
10109u35-core,10109u35-core,0,,ea,,45.00,
10110u78-core,10110u78-core,0,,ea,,25.00,
10111u10,10111u10,0,,ea,,165.00,
10112u45,10112u45,0,,ea,,75.74,
10113u30,10113u30,0,,ea,,175.00,
10119u78,10119u78,0,,ea,,79.00,
