Part Number,Magento Quantity,Total Quantity,Lowest Cost,Highest Cost,Warehouse,Warehouse Cost,Coast,Coast Cost,Perfection,Perfection Cost,Jante,Jante Cost,Road Ready,Road Ready Cost
ALY62443U20N,5,35,74.0,144.69,1,74.0,34,144.69,0,0,0,0,0,0
STL05030U45,1,1,12.47,12.47,1,12.47,0,0,0,0,0,0,0,0
ALY73640U10,1,1,45.0,45.0,1,45.0,0,0,0,0,0,0,0,0
ALY05135U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY68738U20,1,1,129.0,129.0,1,129.0,0,0,0,0,0,0,0,0
ALY85036U20,1,1,25.0,25.0,1,25.0,0,0,0,0,0,0,0,0
ALY03960U45,5,10,115.0,229.65,1,115.0,9,229.65,0,0,0,0,0,0
ALY73761U78,5,7,0.0,289.08,1,0.0,6,289.08,0,0,0,0,0,0
ALY98169U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY72311U30,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY03407U10,1,1,65.0,65.0,1,65.0,0,0,0,0,0,0,0,0
ALY05059U10,1,1,94.0,94.0,1,94.0,0,0,0,0,0,0,0,0
ALY05173U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY62562U20,5,12,0.0,139.56,1,0.0,11,139.56,0,0,0,0,0,0
ALY65516U20,1,1,74.16,74.16,1,74.16,0,0,0,0,0,0,0,0
ALY72167U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY74175U20,1,1,50.0,50.0,1,50.0,0,0,0,0,0,0,0,0
ALY64106U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY05569U79,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY97803U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY97755U20,5,28,0.0,229.65,1,0.0,27,229.65,0,0,0,0,0,0
ALY03622U10,5,5,33.02,165.85,1,33.02,4,165.85,0,0,0,0,0,0
ALY09035U10,1,1,100.0,100.0,1,100.0,0,0,0,0,0,0,0,0
ALY09076U20,5,6,109.0,139.56,1,109.0,5,139.56,0,0,0,0,0,0
ALY71334U20,1,1,191.51,191.51,1,191.51,0,0,0,0,0,0,0,0
ALY85233U20,1,1,55.0,55.0,1,55.0,0,0,0,0,0,0,0,0
ALY69359U30,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY74708U35,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY74654U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY70283U78,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY65236U80,3,3,0.0,0.0,3,0.0,0,0,0,0,0,0,0,0
ALY05070U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY02248U10,5,8,63.73,165.85,1,63.73,7,165.85,0,0,0,0,0,0
ALY65394U20,1,1,75.0,75.0,1,75.0,0,0,0,0,0,0,0,0
ALY74571U20,1,1,117.75,117.75,1,117.75,0,0,0,0,0,0,0,0
ALY58967U35,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY10184U80,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY97669U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY64103U30,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY85231U10,1,1,19.05,19.05,1,19.05,0,0,0,0,0,0,0,0
ALY85217U30,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY68777U78,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY10060U80,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY96991U45,5,21,0.0,385.14,1,0.0,20,385.14,0,0,0,0,0,0
ALY68191U10,1,1,45.0,45.0,1,45.0,0,0,0,0,0,0,0,0
ALY02397U20,1,1,69.57,69.57,1,69.57,0,0,0,0,0,0,0,0
ALY72306U30,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY97841U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY96264U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY96296U35,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY58745U20,1,1,99.0,99.0,1,99.0,0,0,0,0,0,0,0,0
ALY59493U20,2,2,110.0,110.0,2,110.0,0,0,0,0,0,0,0,0
ALY73675U20,1,1,89.0,89.0,1,89.0,0,0,0,0,0,0,0,0
ALY02248U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY71523U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY58740U78,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY70268U78,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY97041U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
STL09012U20,5,15,72.5,100.0,3,100.0,12,72.5,0,0,0,0,0,0
ALY05273U10,1,1,65.0,65.0,1,65.0,0,0,0,0,0,0,0,0
ALY86459U10,1,1,30.0,30.0,1,30.0,0,0,0,0,0,0,0,0
ALY69719U20,1,1,50.0,50.0,1,50.0,0,0,0,0,0,0,0,0
ALY85390U20,1,1,260.0,260.0,1,260.0,0,0,0,0,0,0,0,0
ALY70931U77,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY98309U77,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY10011U20,5,7,0.0,165.85,1,0.0,6,165.85,0,0,0,0,0,0
STL62618U45N,5,31,0.0,92.33,1,0.0,0,0,0,0,0,0,30,92.33
ALY69290U10,1,1,70.0,70.0,1,70.0,0,0,0,0,0,0,0,0
ALY69960U20,1,1,35.0,35.0,1,35.0,0,0,0,0,0,0,0,0
ALY71208U20,1,1,62.29,62.29,1,62.29,0,0,0,0,0,0,0,0
ALY73669U20,1,1,115.0,115.0,1,115.0,0,0,0,0,0,0,0,0
ALY73809U79,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY05132U80,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY59444U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY62295U10,1,1,109.0,109.0,1,109.0,0,0,0,0,0,0,0,0
ALY59740U20,1,1,165.85,165.85,1,165.85,0,0,0,0,0,0,0,0
ALY69947U20,1,1,124.0,124.0,1,124.0,0,0,0,0,0,0,0,0
ALY72202U20,5,5,75.0,229.65,1,75.0,4,229.65,0,0,0,0,0,0
ALY70398U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY97407U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY96078U77,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY64019U30N,5,26,100.0,135.7,1,100.0,0,0,0,0,25,135.7,0,0
ALY06022U10,1,1,109.0,109.0,1,109.0,0,0,0,0,0,0,0,0
ALY71671U10,1,1,20.45,20.45,1,20.45,0,0,0,0,0,0,0,0
ALY03559U20,1,1,110.0,110.0,1,110.0,0,0,0,0,0,0,0,0
ALY59379U20,1,1,87.5,87.5,1,87.5,0,0,0,0,0,0,0,0
ALY63934U20,5,125,80.0,165.85,1,80.0,124,165.85,0,0,0,0,0,0
ALY64933U20,1,1,129.0,129.0,1,129.0,0,0,0,0,0,0,0,0
ALY68217U20,1,1,75.0,75.0,1,75.0,0,0,0,0,0,0,0,0
ALY64966U79,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY97749U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY69819U20N,5,12,65.0,121.84,1,65.0,11,121.84,0,0,0,0,0,0
ALY04033U10,1,1,40.0,40.0,1,40.0,0,0,0,0,0,0,0,0
ALY59534U20,1,1,119.0,119.0,1,119.0,0,0,0,0,0,0,0,0
ALY74560U20,1,1,104.0,104.0,1,104.0,0,0,0,0,0,0,0,0
ALY03988U30,5,13,120.0,165.85,1,120.0,12,165.85,0,0,0,0,0,0
ALY02675U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY05903U45,1,1,115.0,115.0,1,115.0,0,0,0,0,0,0,0,0
ALY03944U80,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY96709U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY06546U10,1,1,71.0,71.0,1,71.0,0,0,0,0,0,0,0,0
ALY68807A10,5,10,17.0,165.85,1,17.0,9,165.85,0,0,0,0,0,0
ALY62492U20,1,1,115.0,115.0,1,115.0,0,0,0,0,0,0,0,0
ALY69626U20,5,26,165.85,254.0,1,254.0,25,165.85,0,0,0,0,0,0
ALY64045U30,4,4,115.0,119.0,1,115.0,0,0,3,119.0,0,0,0,0
ALY05097U10,1,1,17.0,17.0,1,17.0,0,0,0,0,0,0,0,0
ALY59251U10,1,1,101.89,101.89,1,101.89,0,0,0,0,0,0,0,0
ALY68162R10,1,1,56.67,56.67,1,56.67,0,0,0,0,0,0,0,0
ALY03069U20,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY59456U20,1,1,128.48,128.48,1,128.48,0,0,0,0,0,0,0,0
ALY05550U45,1,1,50.0,50.0,1,50.0,0,0,0,0,0,0,0,0
ALY69557U10,1,1,5.97,5.97,1,5.97,0,0,0,0,0,0,0,0
ALY72163U10,1,1,30.0,30.0,1,30.0,0,0,0,0,0,0,0,0
ALY03545U20,1,1,71.0,71.0,1,71.0,0,0,0,0,0,0,0,0
ALY03983U20,5,36,96.62,165.85,1,96.62,35,165.85,0,0,0,0,0,0
ALY58912U20,5,8,104.0,229.65,1,104.0,7,229.65,0,0,0,0,0,0
ALY68821U20,1,1,55.0,55.0,1,55.0,0,0,0,0,0,0,0,0
ALY01368U30,1,1,28.0,28.0,1,28.0,0,0,0,0,0,0,0,0
ALY05233U45,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY05794U35,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY70866U20N,5,26,89.0,167.37,1,89.0,0,0,0,0,25,167.37,0,0
ALY05830U10,5,16,45.0,165.85,1,45.0,15,165.85,0,0,0,0,0,0
ALY59221U10,1,1,133.65,133.65,1,133.65,0,0,0,0,0,0,0,0
ALY59289U10,1,1,85.0,85.0,1,85.0,0,0,0,0,0,0,0,0
ALY70784U20,5,8,50.0,165.85,1,50.0,7,165.85,0,0,0,0,0,0
ALY72171U20,1,1,125.0,125.0,1,125.0,0,0,0,0,0,0,0,0
ALY04044U35,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY03399U80,5,5,0.0,226.32,1,0.0,4,226.32,0,0,0,0,0,0
ALY96985U30,1,1,0.0,0.0,1,0.0,0,0,0,0,0,0,0,0
ALY74555U10,1,1,29.25,29.25,1,29.25,0,0,0,0,0,0,0,0
ALY58986U20,1,1,237.09,237.09,1,237.09,0,0,0,0,0,0,0,0
